Course,Description,School,Majors,Articulates,IVC Equivalent
BIOL 100,null,SDSU,AE ME COMPE CIVE CONE,TRUE,BIOL 100
CHEM 200,null,SDSU,AE ME CIVE ENV CONE,TRUE,CHEM 200
CHEM 6A,null,UCSD,AE ME EE STRUCT BENG,TRUE,CHEM 200
CHEM 6B,null,UCSD,BENG,TRUE,CHEM 200-202
MATH 150,null,SDSU,AE ME COMPE EE CIVE ENV CONE,TRUE,MATH 192
MATH 151,null,SDSU,AE ME COMPE EE CIVE ENV CONE,TRUE,MATH 194
MATH 252,null,SDSU,AE ME EE CIVE ENV,TRUE,MATH 210
MATH 245,null,SDSU,COMPE,TRUE,MATH 240
MATH 254,null,SDSU,COMPE EE,TRUE,MATH 230
MATH 18,null,UCSD,AE ME COMPE(CSE) COMPE(ECE) EE STRUCT BENG,TRUE,MATH 230
MATH 20A,null,UCSD,AE ME COMPE(CSE) COMPE(ECE) EE STRUCT BENG,TRUE,MATH 192
MATH 20B,null,UCSD,AE ME COMPE(CSE) COMPE(ECE) EE STRUCT BENG,TRUE,MATH 194
MATH 20C,null,UCSD,AE ME COMPE(CSE) COMPE(ECE) EE STRUCT BENG,TRUE,MATH 210
MATH 20D,null,UCSD,AE ME COMPE(CSE) COMPE(ECE) EE STRUCT BENG,TRUE,MATH 220
PHYS 195,null,SDSU,AE ME COMPE EE CIVE ENV CONE,TRUE,PHYS 200
PHYS 196,null,SDSU,AE ME COMPE EE CIVE ENV CONE,TRUE,PHYS 202
PHYS 2A,null,UCSD,AE ME COMPE(CSE) COMPE(ECE) EE STRUCT BENG,TRUE,PHYS 200
PHYS 2B,null,UCSD,AE ME COMPE(CSE) COMPE(ECE) EE STRUCT BENG,TRUE,PHYS 202
PHYS 2C,null,UCSD,AE ME COMPE(CSE) COMPE(ECE) EE STRUCT BENG,TRUE,PHYS 204
PHYS 2D,null,UCSD,EE,TRUE,PHYS 202-204
AE 260,null,SDSU,AE ME,FALSE,ENGR 220
AE 200,null,SDSU,AE ME,FALSE,ENGR 210
AE 220,null,SDSU,AE ME,TRUE,ENGR 212
EE 204,null,SDSU,AE,TRUE,ENGR 240
ME 190,null,SDSU,AE ME,FALSE,ENGR 150
ME 202,null,SDSU,ME,FALSE,ENGR 220
ME 230,null,SDSU,ME,FALSE,ENGR 240
MAE 8,null,UCSD,AE ME BENG,FALSE,ENGR 220
MAE 30A,null,UCSD,AE ME,FALSE,ENGR 210
MAE 30B,null,UCSD,AE ME,FALSE,ENGR 212
MAE 3,null,UCSD,ME BENG,FALSE,ENGR 150
MAE 40,null,UCSD,ME,FALSE,ENGR 240
EE 210,null,SDSU,COMPE EE,TRUE,ENGR 240
COMPE 160,null,SDSU,COMPE EE,FALSE,CS 221
COMPE 260,null,SDSU,COMPE,FALSE,CS 231
COMPE 271,null,SDSU,COMPE EE,FALSE,CS 281
EE 200,null,SDSU,COMPE EE,FALSE,ENGR 220
CSE 11,null,UCSD,COMPE(CSE) COMPE(ECE),TRUE,CS 221
CSE 12,null,UCSD,COMPE(CSE) COMPE(ECE),TRUE,CS 231
CSE 20,null,UCSD,COMPE(CSE) COMPE(ECE),TRUE,CS 240
CSE 21,null,UCSD,COMPE(CSE) COMPE(ECE),TRUE,CS 231-240
CSE 30,null,UCSD,COMPE(CSE) COMPE(ECE),FALSE,CS 281
ECE 35,null,UCSD,COMPE(CSE) COMPE(ECE) EE,FALSE,ENGR 240
ECE 5,null,UCSD,EE,FALSE,ENGR 100
CIVE 160,null,SDSU,CIVE ENV CONE,TRUE,MATH 119
CIVE 225,null,SDSU,CIVE ENV CONE,FALSE,ENGR 210
SE 9,null,UCSD,STRUCT,FALSE,ENGR 220
BIOL 204,null,SDSU,ENV,TRUE,BIOL 182
CHEM 130,null,SDSU,ENV,TRUE,CHEM 204
BIOL 101,null,SDSU,CONE,TRUE,BIOL 120-122
ECON 102,null,SDSU,CONE,TRUE,ECON 101
PHIL 101,null,SDSU,CONE,TRUE,PHIL 104
BILD 1,null,UCSD,BENG,TRUE,BIOL 180-182
SE 101A,null,UCSD,STRUCT,FALSE,ENGR 210
SE 101B,null,UCSD,STRUCT,FALSE,ENGR 212
